UnitID,Institution Name,Control of institution (HD2023),Full-time 12-month unduplicated headcount (DRVEF122023),Full-time undergraduate 12-month unduplicated headcount (DRVEF122023),Total 12-month unduplicated headcount (DRVEF122023),Graduation rate - Bachelor degree within 4 years  total (DRVGR2023),Graduation rate  total cohort (DRVGR2023),Instruction expenses per FTE  (GASB) (DRVF2023),Instruction expenses per FTE  (FASB) (DRVF2023),Instruction expenses per FTE (for-profit institutions) (DRVF2023),Full-time retention rate  2023 (EF2023D),Percent admitted - total (DRVADM2022),Admissions yield - total (DRVADM2022),Full-time 12-month unduplicated headcount (DRVEF122022),Full-time undergraduate 12-month unduplicated headcount (DRVEF122022),Total 12-month unduplicated headcount (DRVEF122022),Graduation rate - Bachelor degree within 4 years  total (DRVGR2022),Graduation rate  total cohort (DRVGR2022),Instruction expenses per FTE  (GASB) (DRVF2022),Instruction expenses per FTE  (FASB) (DRVF2022),Instruction expenses per FTE (for-profit institutions) (DRVF2022),Full-time retention rate  2022 (EF2022D),Percent admitted - total (DRVADM2021),Admissions yield - total (DRVADM2021),Graduation rate - Bachelor degree within 4 years  total (DRVGR2021),Graduation rate  total cohort (DRVGR2021),Instruction expenses per FTE  (GASB) (DRVF2021),Instruction expenses per FTE  (FASB) (DRVF2021),Instruction expenses per FTE (for-profit institutions) (DRVF2021),Full-time retention rate  2021 (EF2021D),Percent admitted - total (DRVADM2020),Admissions yield - total (DRVADM2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instruction expenses per FTE  (GASB) (DRVF2020),Instruction expenses per FTE  (FASB) (DRVF2020),Instruction expenses per FTE (for-profit institutions) (DRVF2020),Full-time retention rate  2020 (EF2020D),Percent admitted - total (DRVADM2019),Admissions yield - total (DRVADM2019),Graduation rate - Bachelor degree within 4 years  total (DRVGR2019),Graduation rate  total cohort (DRVGR2019),Instruction expenses per FTE  (GASB) (DRVF2019),Instruction expenses per FTE  (FASB) (DRVF2019),Instruction expenses per FTE (for-profit institutions) (DRVF2019),Full-time retention rate  2019 (EF2019D),Percent admitted - total (DRVADM2018),Admissions yield - total (DRVADM2018),Graduation rate - Bachelor degree within 4 years  total (DRVGR2018),Graduation rate  total cohort (DRVGR2018),Instruction expenses per FTE  (GASB) (DRVF2018),Instruction expenses per FTE  (FASB) (DRVF2018),Instruction expenses per FTE (for-profit institutions) (DRVF2018),Full-time retention rate  2018 (EF2018D),Percent admitted - total (DRVADM2017),Admissions yield - total (DRVADM2017),Graduation rate - Bachelor degree within 4 years  total (DRVGR2017),Graduation rate  total cohort (DRVGR2017),Instruction expenses per FTE  (GASB) (DRVF2017),Instruction expenses per FTE  (FASB) (DRVF2017),Instruction expenses per FTE (for-profit institutions) (DRVF2017),Full-time retention rate  2017 (EF2017D),Percent admitted - total (DRVADM2016),Admissions yield - total (DRVADM2016),Graduation rate - Bachelor degree within 4 years  total (DRVGR2016),Graduation rate  total cohort (DRVGR2016),Instruction expenses per FTE  (GASB) (DRVF2016),Instruction expenses per FTE  (FASB) (DRVF2016),Instruction expenses per FTE (for-profit institutions) (DRVF2016),Full-time retention rate  2016 (EF2016D),Percent admitted - total (DRVADM2015),Admissions yield - total (DRVADM2015),Graduation rate - Bachelor degree within 4 years  total (DRVGR2015),Graduation rate  total cohort (DRVGR2015),Instruction expenses per FTE  (GASB) (DRVF2015),Instruction expenses per FTE  (FASB) (DRVF2015),Instruction expenses per FTE (for-profit institutions) (DRVF2015),Full-time retention rate  2015 (EF2015D),Percent admitted - total (DRVADM2014),Admissions yield - total (DRVADM2014),Graduation rate - Bachelor degree within 4 years  total (DRVGR2014),Graduation rate  total cohort (DRVGR2014),Instruction expenses per FTE  (GASB) (DRVF2014),Instruction expenses per FTE  (FASB) (DRVF2014),Instruction expenses per FTE (for-profit institutions) (DRVF2014),Full-time retention rate  2014 (EF2014D),Percent admitted - total (DRVIC2013),Admissions yield - total (DRVIC2013),State abbreviation (HD2022),Full-time undergraduate 12-month unduplicated headcount (DRVEF122021),Total 12-month unduplicated headcount (DRVEF122021),Full-time undergraduate 12-month unduplicated headcount (DRVEF122020),Total 12-month unduplicated headcount (DRVEF122020),12-month unduplicated headcount  total: 2018-19 (DRVEF122019),12-month unduplicated headcount  total: 2017-18 (DRVEF122018),12-month unduplicated headcount  total: 2016-17 (DRVEF122017),12-month unduplicated headcount  total: 2015-16 (DRVEF122016),12-month unduplicated headcount  total: 2014-15 (DRVEF122015),12-month unduplicated headcount  total: 2013-14 (DRVEF122014),Carnegie Classification 2025: Institutional Classification (HD2024),Carnegie Classification 2025: Research Activity Designation (HD2024),Carnegie Classification 2025: Institutional Size (HD2024)
177834,A T Still University of Health Sciences,2,3114,0,4275,,,,21523,,,,,3021,0,4250,,,,20565,,,,,,,,20832,,,,,,,,21572,,,,,,,,21137,,,,,,,,21432,,,,,,,,20322,,,,,,,,20283,,,,,,,,19405,,,,,,,,17005,,,,,MO,0,4346,0,4267,4307,4311,4303,4123,4109,3838,27,,3
461892,Abcott Institute,3,257,257,257,,100,,,6522,63,,,206,206,206,,18,,,6147,56,,,,65,,,3477,28,,,,59,,,2227,22,,,,59,,,1043,68,,,,70,,,1830,75,,,,97,,,2806,63,,,,85,,,5032,77,,,,100,,,3367,95,,,,75,,,2818,78,,,MI,283,283,284,284,283,317,204,239,234,210,,,
497374,Academia Medical Institute,3,147,147,147,,,,,1375,67,51,56,72,72,72,,91,,,2165,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH,,,,,,,,,,,,,
172866,Academy College,3,140,140,140,67,100,,,7669,67,,,155,155,155,100,100,,,6308,0,,,40,100,,,3874,100,,,,,,,3962,100,,,,0,,,3928,60,,,,0,,,5526,0,,,100,63,,,5462,0,,,,0,,,3211,100,,,50,75,,,3371,,,,0,14,,,2785,,,,MN,124,135,126,140,145,118,149,177,194,170,15,,1
489122,Academy of Beauty Professionals,3,58,58,111,,67,,,7928,100,,,40,40,83,,21,,,8342,100,,,,54,,,8152,56,,,,57,,,7276,69,,,,60,,,7832,79,,,,,,,10739,81,,,,,,,6387,67,,,,,,,7787,0,,,,,,,,,,,,,,,,,,,WI,39,78,66,66,50,46,52,37,,,,,
489131,Academy of Beauty Professionals,3,58,58,123,,63,,,7818,100,,,60,60,129,,30,,,5937,67,,,,68,,,6040,100,,,,56,,,5767,64,,,,86,,,5966,75,,,,,,,7382,84,,,,,,,5013,78,,,,,,,8137,,,,,,,,,,,,,,,,,,,,WI,58,102,79,79,82,71,42,25,,,,,
489140,Academy of Beauty Professionals,3,55,55,158,,57,,,6326,89,,,66,66,161,,37,,,4932,88,,,,54,,,6697,60,,,,71,,,5210,54,,,,67,,,5084,63,,,,,,,5773,78,,,,,,,8049,75,,,,,,,6493,100,,,,,,,,,,,,,,,,,,,WI,120,120,91,91,99,46,44,30,,,,,
421771,Academy of Beauty Professionals,3,51,51,72,,40,,,10243,57,,,64,64,79,,44,,,5034,60,,,,56,,,3254,100,,,,64,,,5582,57,,,,67,,,7787,75,,,,71,,,8963,50,,,,76,,,7565,100,,,,60,,,6363,67,,,,71,,,8728,100,,,,65,,,6293,80,,,MO,36,36,41,41,47,60,56,64,66,72,,,
451334,Academy of Hair Design-Springfield,3,228,228,422,,60,,,5312,69,,,298,298,430,,54,,,4590,77,,,,67,,,3895,75,,,,60,,,2700,49,,,,62,,,2261,83,,,,61,,,3912,82,,,,76,,,6609,79,,,,77,,,3386,75,,,,78,,,2067,81,,,,81,,,4240,95,,,MO,315,416,259,350,404,332,291,305,227,161,,,
480879,Academy of Salon Professionals,3,93,93,93,,67,,,3098,86,,,78,78,78,,54,,,2080,71,,,,73,,,2260,67,,,,59,,,2261,80,,,,67,,,1931,40,,,,43,,,1527,57,,,,62,,,1821,83,,,,86,,,1830,100,,,,56,,,1595,67,,,,78,,,1677,50,,,MO,71,71,68,68,68,83,74,67,49,37,,,
500069,ACUPUNCTURE AND MASSAGE SCHOOL OF ORIENTAL MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374024,Adler Graduate School,2,13,0,233,,,,8548,,,,,10,0,322,,,,8066,,,,,,,,7534,,,,,,,,8276,,,,,,,,8296,,,,,,,,7097,,,,,,,,7815,,,,,,,,10212,,,,,,,,7337,,,,,,,,6884,,,,,MN,0,346,0,415,448,440,471,445,477,430,29,,1
142832,Adler University,2,1273,0,2452,,,,11699,,,,,1301,0,2518,,,,12039,,,,,,,,11296,,,,,,,,11782,,,,,,,,12065,,,,,,,,17214,,,,,,,,15945,,,,,,,,15110,,,,,,,,14651,,,,,,,,14389,,,,,IL,0,2365,0,2102,2064,1511,1554,1469,1313,1234,25,,2
168528,Adrian College,2,1758,1696,1892,44,56,,8167,,60,69,22,1801,1748,1925,40,51,,7830,,67,76,28,39,53,,8323,,66,61,20,51,54,,8946,,66,56,19,35,50,,9029,,64,65,19,30,45,,8991,,71,60,18,38,52,,8976,,64,58,15,47,53,,8661,,69,61,16,36,54,,8868,,71,62,15,44,57,,8616,,60,56,19,MI,1751,1918,1753,1858,1947,1800,1768,1794,1685,1656,15,,2
203030,Adult and Community Education-Hudson,1,108,108,108,,95,12954,,,83,100,100,125,125,125,,93,9567,,,86,91,100,,93,11292,,,88,89,100,,92,12437,,,83,100,100,,71,8771,,,68,94,100,,74,6793,,,83,83,68,,73,5088,,,74,100,100,,80,6087,,,71,83,70,,73,5317,,,69,85,58,,71,8710,,,73,93,59,OH,124,124,102,103,165,210,199,185,236,174,,,
461786,Advanced College of Cosmetology,3,40,40,40,,83,,,4741,92,,,40,40,40,,80,,,4923,100,,,,84,,,4923,100,,,,82,,,4741,100,,,,74,,,4214,100,,,,94,,,4370,100,,,,80,,,4917,97,,,,74,,,2803,93,,,,62,,,3737,100,,,,78,,,1887,88,,,WI,31,31,32,32,37,29,40,41,58,63,,,
496724,Aesthetics Institute,3,42,42,42,,,,,612,100,,,35,35,35,,,,,511,100,,,,100,,525,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO,35,35,,,,,,,,,,,
200697,Air Force Institute of Technology-Graduate School of Engineering & Management,1,509,0,1547,,,,,,,,,634,0,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH,0,1558,0,1409,1170,1163,1183,1196,1031,1087,30,2,2
168546,Albion College,2,1471,1471,1523,46,57,,15244,,69,67,9,1527,1527,1588,48,59,,16177,,73,69,10,53,64,,14265,,74,74,14,58,68,,13378,,73,69,15,61,70,,13272,,80,68,15,53,64,,12341,,75,71,19,46,57,,11882,,79,72,17,61,71,,14263,,82,80,21,56,65,,15022,,80,61,12,61,72,,13911,,84,56,14,MI,1539,1585,1478,1500,1589,1634,1476,1405,1284,1337,22,,2
172918,Alexandria Technical & Community College,1,1274,1274,3855,,61,8569,,,74,,,1215,1215,3651,,61,9141,,,68,,,,62,9034,,,67,,,,61,8273,,,68,,,,58,7850,,,72,,,,62,7680,,,68,,,,57,7645,,,69,,,,61,6843,,,71,,,,64,6587,,,71,,,,58,6464,,,72,,,MN,1226,3520,1298,3678,3811,4051,3928,3958,3923,4128,12,,2
200873,Allegheny Wesleyan College,2,55,55,92,0,40,,7902,,57,,,65,65,82,5,40,,0,,76,,,0,58,,11747,,81,,,4,42,,8063,,43,,,13,50,,4909,,58,,,0,64,,3848,,67,,,0,22,,3503,,89,,,0,18,,3943,,90,,,17,22,,3474,,67,,,6,38,,4307,,80,,,OH,56,79,52,84,80,89,80,80,63,51,31,,1
152798,Allen College,2,501,326,631,,,,13150,,,,,525,373,729,,,,11224,,,100,100,,,,10515,,,,,,,,10807,,,,,,100,,10370,,,,,,,,10014,,,,,,100,,9993,,,0,,,100,,9790,,,0,,,100,,11084,,,0,,,75,,8634,,100,50,50,IA,370,747,425,809,844,840,848,833,807,808,28,,2
154642,Allen County Community College,1,929,929,3031,,39,3234,,,48,,,1118,1118,3345,,33,2872,,,51,,,,38,3149,,,56,,,,39,3227,,,54,,,,39,3262,,,62,,,,38,3048,,,58,,,,30,3234,,,65,,,,33,3148,,,61,,,,42,2887,,,54,,,,37,2986,,,51,,,KS,1024,3356,1012,3750,3967,4095,4061,4012,4197,4578,3,,2
461111,Allstate Hairstyling & Barber College,3,48,48,64,,60,,,2524,93,,,40,40,59,,57,,,2950,92,,,,61,,,3700,84,,,,81,,,4886,97,,,,87,,,2380,95,,,,85,,,2330,100,,,,67,,,2032,100,,,,100,,,3959,95,,,,90,,,6618,75,,,,64,,,3022,75,,,OH,37,59,46,56,62,65,62,64,65,59,,,
168591,Alma College,2,1227,1207,1323,51,64,,13819,,76,65,15,1342,1327,1385,53,62,,12753,,73,69,16,54,63,,10315,,79,67,22,59,71,,10232,,83,62,20,57,67,,10555,,77,64,13,51,64,,10668,,79,64,13,56,68,,11038,,77,68,14,56,67,,10610,,80,68,20,49,62,,11989,,84,72,21,57,61,,11731,,79,68,21,MI,1397,1484,1436,1518,1481,1465,1484,1427,1438,1451,5,,2
168607,Alpena Community College,1,523,523,2625,33,50,8567,,,75,,,521,521,2354,100,44,8033,,,66,,,,42,8878,,,57,,,,38,8584,,,63,,,,36,7948,,,61,,,,32,7499,,,65,,,,35,7463,,,65,,,,,9653,,,62,,,,32,8720,,,58,,,,35,8002,,,61,,,MI,603,2335,718,2250,2356,2389,2279,1833,2017,2206,12,,2
238193,Alverno College,2,1426,651,2002,36,51,,10846,,79,90,23,1517,743,2154,40,53,,10308,,72,91,19,25,48,,8652,,69,78,22,22,43,,8429,,71,69,32,22,49,,10422,,71,70,37,19,41,,9078,,68,89,38,11,45,,8313,,71,80,33,11,42,,8126,,72,77,49,17,42,,7876,,69,65,46,11,36,,7920,,74,79,45,WI,928,2158,987,1986,2003,2140,2238,2427,2689,2795,20,,2
457527,Ambria College of Nursing,3,148,148,348,,,,,8414,,,,146,146,367,,,,,7099,,,,,,,,7252,,,,,75,,,9572,,,,,89,,,11813,,,,,67,,,8652,,,,,67,,,8702,,,,,78,,,8123,,,,,63,,,7834,,,,,67,,,8487,80,,,IL,84,302,75,290,360,457,639,692,666,583,28,,1
142887,American Academy of Art College,3,93,93,116,40,45,,,8372,50,,,114,114,147,46,59,,,8592,68,,,43,57,,,7141,70,,,46,58,,6783,,74,,,32,53,,6605,,78,,,41,60,,5964,,78,,,58,62,,5928,,75,,,42,44,,5453,,76,,,50,51,,5032,,72,,,47,51,,,4154,72,93,44,IL,129,172,159,208,247,266,306,335,390,427,23,,1
446002,American Academy of Health and Wellness,3,21,0,41,,,,,3338,,,,19,0,37,,,,,3329,,,,,,,,13445,,,,,,,,12816,,,,,,,,14263,,,,,,,,11834,,,,,,,,10300,,,,,,,,14236,,,,,,,,12123,,,,,,,,12860,,,,MN,0,67,0,93,102,103,98,71,65,69,29,,1
449889,American College of Education,3,15473,199,15473,,,,,,,,,13349,159,13349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN,109,11712,143,10302,8416,8478,7193,5214,4519,4763,25,,3
153463,American Hair Academy,3,29,29,29,,69,,,7433,63,,,32,32,32,,71,,,5040,71,,,,74,,,6787,80,,,,79,,,5392,83,,,,65,,,4828,78,,,,64,,,6256,56,,,,81,,,5473,71,,,,67,,,3749,83,,,,82,,,3779,86,,,,68,,,3385,78,,,IA,26,26,34,34,38,37,36,38,39,39,,,
441636,American Institute of Alternative Medicine,3,498,474,579,,55,,,4407,,77,28,554,533,637,,62,,,3344,,100,93,,,,,3490,,67,70,,47,,,4994,,80,93,,45,,,4941,,80,45,,77,,,4967,,36,70,,59,,,4932,,100,52,,45,,,5190,,80,100,,94,,,3063,0,82,84,,68,,,4002,83,92,96,OH,540,619,475,591,569,549,539,549,481,433,28,,2
142957,American Islamic College,2,10,7,22,,,,88973,,0,100,0,8,3,27,0,0,,88651,,,100,100,0,50,,60778,,,,,0,0,,74760,,,,,0,50,,94758,,,,,,,,54825,,,,,,,,36216,,50,100,100,,,,22812,,50,100,71,,,,22289,,100,,,,,,,,,,,IL,7,28,1,17,19,26,40,55,40,,31,,1
461573,American Trade School,3,192,192,192,,64,,,1756,77,,,244,244,244,,68,,,1316,84,,,,51,,,2275,78,,,,71,,,2711,71,,,,64,,,4549,69,,,,61,,,4132,78,,,,67,,,3684,71,,,,62,,,4102,68,,,,58,,,3600,70,,,,71,,,3202,75,,,MO,215,215,118,118,158,132,156,142,158,168,,,
492023,Americare Technical School,3,0,0,266,,,,,2609,,,,338,338,338,,12,,,3059,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL,,,,,,,,,,,,,
151865,Anabaptist Mennonite Biblical Seminary,2,30,0,154,,,,16455,,,,,29,0,138,,,,17854,,,,,,,,19277,,,,,,,,19742,,,,,,,,17193,,,,,,,,20253,,,,,,,,22899,,,,,,,,22159,,,,,,,,21457,,,,,,,,21898,,,,,IN,0,127,0,108,119,118,112,129,126,136,31,,1
150066,Anderson University,2,1081,1075,1675,42,49,,11188,,70,52,12,1132,1116,1732,54,59,,10919,,69,62,12,54,63,,10101,,67,67,13,55,64,,10410,,71,63,13,52,60,,9902,,69,65,16,50,60,,9704,,64,65,24,48,57,,8808,,73,66,24,49,58,,8892,,77,60,27,44,54,,8533,,75,55,30,48,63,,8594,,75,55,29,IN,1175,1828,1269,2023,1934,2053,2419,2644,2806,2785,15,,2
168740,Andrews University,2,2202,1136,3914,50,66,,13621,,83,91,21,2542,1383,4307,46,71,,12654,,82,82,28,41,72,,11594,,87,49,37,36,61,,12291,,85,67,29,37,59,,12470,,87,66,31,36,58,,13333,,82,58,31,33,55,,12945,,88,40,31,33,63,,13471,,87,39,32,26,54,,13227,,80,37,32,32,59,,12620,,79,38,41,MI,1367,4117,1381,4767,4754,4735,4567,4582,4745,4899,7,,3
172954,Anoka Technical College,1,842,842,2197,,56,9766,,,64,,,958,958,2342,,47,9353,,,73,,,,46,9188,,,65,,,,46,8333,,,60,,,,49,8335,,,61,,,,37,7663,,,63,,,,31,7223,,,59,,,,30,6436,,,49,,,,19,6824,,,55,,,,29,6794,,,51,,,MN,934,2280,1020,2533,2503,2605,2687,2781,2872,2921,21,,2
172963,Anoka-Ramsey Community College,1,2922,2922,10430,,24,7154,,,62,,,3078,3078,10520,,22,6186,,,53,,,,24,5737,,,56,,,,25,5615,,,53,,,,26,5496,,,56,,,,24,4946,,,55,,,,24,5139,,,56,,,,15,4867,,,54,,,,20,4403,,,57,,,,19,4335,,,57,,,MN,3430,11213,3718,11367,11550,11898,12008,12211,12420,12297,2,,3
483018,Antioch College,2,146,146,146,11,26,,17276,,61,83,18,154,154,154,13,25,,16135,,73,72,21,18,32,,17149,,75,85,28,59,66,,20364,,71,82,13,62,78,,21339,,68,84,32,66,66,,19593,,47,97,13,44,56,,12446,,58,72,49,,,,10362,,67,72,55,,,,15687,,81,46,50,,,,11105,,92,59,56,OH,134,134,103,103,115,147,233,272,249,191,22,,1
245892,Antioch University,2,353,58,537,,,,8370,,,,,396,76,619,,,,8672,,,,,,,,9433,,,,,,,,8928,,,,,,,,6055,,,,,,,,24618,,,,,,,,23572,,,,,,,,22392,,,,,,,,17585,,,,,,,,12417,,,,,OH,140,657,1,66,176,209,239,264,314,556,8,,2
440138,Antioch University-System Administration,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH,,,,,,,,,,,,,
490434,Apex Academy Hair Skin Nails School of Cosmetology,3,49,49,49,,93,,,10944,53,,,49,49,49,,89,,,6586,47,,,,75,,,9191,86,,,,100,,,8553,100,,,,67,,,9686,95,,,,88,,,5089,100,,,,100,,,5603,94,,,,,,,,,,,,,,,,,,,,,,,,,,,OH,42,42,33,33,41,39,22,,,,,,
201034,Apollo Career Center,1,160,160,1439,,74,10462,,,66,,,158,158,1297,,72,10105,,,47,,,,67,8421,,,76,,,,77,9213,,,78,,,,61,9587,,,69,,,,63,8589,,,59,,,,59,9117,,,68,,,,68,7941,,,57,,,,77,9075,,,77,,,,88,9584,,,66,,,OH,297,1127,327,1147,1036,1390,1091,1270,1267,1268,,,
417716,Applied Technology Services,1,250,250,250,,9,5611,,,50,50,100,239,239,239,,42,4351,,,50,46,100,,52,8327,,,60,71,100,,75,3981,,,75,53,100,,79,5011,,,88,20,100,,89,5056,,,100,27,100,,88,5926,,,88,83,100,,100,5877,,,82,,,,65,3996,,,82,71,100,,81,6045,,,91,25,100,MO,183,183,192,192,236,235,230,234,231,236,,,
168786,Aquinas College,2,1104,1053,1362,43,63,,9338,,74,91,16,1148,1081,1467,45,61,,9037,,77,89,17,40,60,,8349,,85,71,21,39,65,,8423,,72,69,20,40,60,,7509,,78,69,22,36,61,,7471,,75,75,22,36,59,,7176,,74,91,19,33,53,,7112,,77,72,19,39,57,,7058,,81,65,21,30,52,,6096,,78,71,20,MI,1160,1686,1218,1775,1903,1927,1975,2081,2148,2419,15,,2
176600,Aquinas Institute of Theology,2,55,0,124,,,,33566,,,,,64,0,142,,,,24425,,,,,,,,25077,,,,,,,,24278,,,,,,,,20752,,,,,,,,16373,,,,,,,,15898,,,,,,,,12282,,,,,,,,13166,,,,,,,,13419,,,,,MO,0,136,0,131,169,152,167,156,177,187,31,,1
499398,Arizona College of Nursing-Cincinnati,3,11,11,38,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499404,Arizona College of Nursing-Cleveland,3,28,28,52,,,,,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498049,Arizona College of Nursing-Southfield,3,274,274,475,,,,,4426,70,100,51,124,124,213,,,,,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,
500333,Arizona College of Nursing-St Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201061,Art Academy of Cincinnati,2,263,261,276,33,44,,3396,,62,100,20,234,230,251,44,49,,3542,,70,100,16,34,38,,4431,,59,31,19,42,48,,5944,,59,27,21,44,48,,6342,,62,33,17,58,63,,7895,,47,45,16,50,56,,7517,,69,31,24,44,52,,6882,,55,23,57,46,54,,7123,,72,24,44,57,62,,5809,,67,25,42,OH,222,244,218,229,216,194,212,217,212,221,23,,1
498951,Art22 Academy,3,77,77,77,,85,,,1630,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201098,Ashland County-West Holmes Career Center,1,36,36,47,,86,10652,,,100,,,21,21,50,,81,11209,,,92,,,,77,10821,,,80,,,,92,6166,,,92,,,,77,20232,,,73,,,,81,8192,,,79,,,,88,11795,,,77,,,,91,11653,,,83,,,,97,13585,,,82,,,,98,11713,,,84,,,OH,25,50,27,55,63,71,69,77,85,105,,,
201104,Ashland University,2,3067,2147,5286,49,61,,12180,,72,72,16,3324,2412,5908,51,60,,10560,,70,70,23,56,68,,11053,,72,74,17,52,62,,11148,,77,71,20,54,65,,6634,,75,68,19,49,61,,7185,,78,74,27,48,60,,8091,,77,72,25,50,63,,7274,,80,77,25,46,58,,6599,,75,73,26,41,57,,7174,,77,74,29,OH,2656,6224,2874,6497,9564,9954,10354,8030,8527,8087,17,,3
201131,Ashtabula County Technical and Career Campus,1,85,85,167,,49,24109,,,55,,,65,65,156,,69,18384,,,58,,,,53,11685,,,50,,,,76,16561,,,91,,,,71,20467,,,95,,,,72,16567,,,72,,,,78,15950,,,72,,,,64,18148,,,61,,,,74,20635,,,60,,,,88,15427,,,67,,,OH,62,147,81,171,159,161,160,135,166,204,,,
452373,ATA College-Cincinnati,3,528,528,528,,71,,,5386,,,,499,499,499,,50,,,6419,82,,,,67,,,5948,50,,,,30,,,9010,40,,,,37,,,6795,67,,,,24,,,6949,55,,,,50,,,2870,30,,,,86,,,6711,41,,,,17,,,5897,57,,,,9,,,11519,36,,,OH,500,500,294,294,421,536,613,700,933,1009,28,,2
476683,Athena Career Academy,3,435,435,435,,61,,,3210,59,87,88,464,464,464,,75,,,3498,15,70,95,,67,,,2602,26,100,56,,72,,,6790,63,35,57,,85,,,7865,29,39,47,,91,,,8202,29,50,26,,66,,,3886,34,41,47,,81,,,4800,37,,,,88,,,2423,49,,,,95,,,2011,80,,,OH,578,578,615,615,514,434,298,217,347,310,12,,1
201140,Athenaeum of Ohio,2,77,0,167,,,,17968,,,,,79,0,199,,,,16542,,,,,,,,14988,,,,,,,,13498,,,,,,,,10796,,,,,,,,,,,,,,,,10429,,,,,,,,10452,,,,,,,,10426,,,,,,,,11972,,,,,OH,0,189,0,216,234,,251,236,290,261,31,,1
201159,Auburn Career Center,1,106,106,369,,76,11058,,,87,,,159,159,319,,44,12019,,,83,,,,57,7629,,,38,,,,64,7458,,,75,,,,81,7898,,,64,,,,90,7204,,,90,,,,74,5633,,,89,,,,81,4192,,,99,,,,61,11638,,,99,,,,98,64962,,,90,,,OH,197,374,97,194,271,235,303,410,224,327,,,
173045,Augsburg University,2,3012,2325,3625,41,52,,11487,,70,77,23,2818,2037,3720,48,56,,11186,,70,76,20,45,58,,9677,,69,73,28,47,59,,11258,,73,76,32,47,57,,12501,,72,69,30,49,64,,10612,,72,65,31,45,62,,9868,,77,45,30,43,57,,9979,,77,59,28,43,56,,9851,,79,68,21,47,63,,9081,,75,61,30,MN,2127,3924,2209,4122,3920,4124,4194,4170,4077,4310,18,,2
143084,Augustana College,2,2451,2408,2476,73,79,,11360,,83,61,14,2418,2381,2446,74,78,,10776,,81,69,14,76,79,,10473,,85,57,14,73,77,,10649,,85,57,18,65,71,,10477,,83,64,16,70,74,,10313,,88,59,18,70,75,,9833,,87,52,21,71,77,,10083,,89,49,20,70,76,,10622,,86,54,22,71,74,,10237,,83,59,18,IL,2419,2461,2579,2611,2601,2696,2591,2571,2543,2569,5,,2
219000,Augustana University,2,1946,1787,2590,60,76,,15227,,84,66,27,1766,1689,2464,61,76,,14448,,82,72,29,57,71,,12438,,84,71,22,56,72,,12662,,84,67,29,69,71,,12559,,82,65,32,53,70,,12002,,85,68,36,55,71,,12946,,86,69,42,54,71,,12393,,84,65,39,57,75,,11185,,84,61,42,50,67,,10732,,80,68,47,SD,1600,2255,1900,2384,2282,2287,2152,2039,2014,1957,20,,2
201177,Aultman College of Nursing and Health Sciences,2,130,130,318,57,52,,10024,,61,55,65,119,119,329,,81,,11123,,67,32,35,,50,,8931,,53,62,48,,25,,10429,,69,51,65,,100,,10115,,70,75,68,,100,,9137,,78,88,80,,50,,8484,,,74,66,,25,,9116,,,87,100,,60,,7929,,,75,83,,50,,8729,,,100,100,OH,160,399,138,396,415,468,528,490,518,414,28,,1
